,killer_recording_id,victim_recording_id,timestamp,recording_id,session_id,timestamp
292,3464705,3463789,1510689118086,3464705,37549105,1510689116015
293,3447264,3463855,1510689076361,3447264,37549105,1510686979529
294,3464708,3463934,1510689396502,3464708,37549105,1510689118229
295,3469731,3463967,1510690164863,3469731,37549105,1510689728879
296,3459153,3464062,1510689149318,3459153,37549105,1510688467025
297,3455553,3464068,1510689201743,3455553,37549105,1510688031304
298,3464947,3464118,1510689148186,3464947,37549105,1510689145829
299,3457988,3464122,1510689368119,3457988,37549105,1510688328875
300,3465699,3464165,1510689432182,3465699,37549105,1510689229579
301,3463210,3464177,1510689410180,3463210,37549105,1510688942338
302,3459153,3464209,1510689064525,3459153,37549105,1510688467025
303,3457988,3464393,1510689431379,3457988,37549105,1510688328875
304,3452819,3464521,1510689097171,3452819,37549105,1510687692881
305,3468529,3464522,1510689645367,3468529,37549105,1510689580928
306,3459087,3464585,1510689114356,3459087,37549105,1510688458951
307,3447264,3464635,1510689160977,3447264,37549105,1510686979529
308,3464118,3464649,1510689118713,3464118,37549105,1510689049485
309,3459153,3464672,1510689114359,3459153,37549105,1510688467025
310,3458220,3464705,1510689138384,3458220,37549105,1510688354262
311,3455283,3464707,1510689208623,3455283,37549105,1510688000718
312,3465821,3464708,1510689400055,3465821,37549105,1510689243836
313,3448659,3464722,1510689155871,3448659,37549105,1510687147078
314,3447264,3464745,1510689162060,3447264,37549105,1510686979529
315,3452819,3464763,1510689129656,3452819,37549105,1510687692881
316,3459153,3464764,1510689126658,3459153,37549105,1510688467025
317,3458220,3464947,1510689150605,3458220,37549105,1510688354262
318,3452003,3465034,1510689343243,3452003,37549105,1510687589941
319,3458220,3465082,1510689162226,3458220,37549105,1510688354262
320,3448659,3465264,1510689312060,3448659,37549105,1510687147078
321,3468978,3465265,1510689677589,3468978,37549105,1510689639620
322,3459087,3465303,1510689209536,3459087,37549105,1510688458951
323,3464165,3465347,1510689392905,3464165,37549105,1510689056137
324,3468931,3465370,1510689747523,3468931,37549105,1510689632919
325,3464393,3465431,1510689349009,3464393,37549105,1510689076466
326,3457214,3465432,1510689348507,3457214,37549105,1510688243949
