,victim_recording_id,attacker_recording_id,type_id,timestamp,victim_pos_x,victim_pos_y,victim_pos_z,victim_rot_x,victim_rot_y,victim_rot_z,attacker_pos_x,attacker_pos_y,attacker_pos_z,attacker_rot_x,attacker_rot_y,attacker_rot_z,weapon_id,hitbone_id,damage_flags,recording_id,session_id,timestamp
10,3443177,3443195,9,1510686716859,14195.369140625,-114563.828125,-4622.791015625,-0.227056324481964,-0.973088324069977,0.0392981357872486,11801.7041015625,-119024.1640625,-4598.76904296875,0.461513191461563,0.887019872665405,0.0141888465732336,1581610878,0,,3443177,37549105,1510686496939
11,3443229,3443186,9,1510686626273,9308.1162109375,-88983.7578125,-5037.28369140625,-0.880986571311951,-0.473071098327637,-0.00814953353255987,-10164.875,-98942.6171875,-5192.98779296875,0.88497132062912,0.465634822845459,0.00316382991150022,1788056093,0,,3443229,37549105,1510686499035
12,3443181,3444831,9,1510686796789,14184.7158203125,-102951.7265625,-3517.04248046875,0.679500758647919,0.700136601924896,-0.219288408756256,13784.2392578125,-101497.0703125,-2891.66796875,0.22459365427494,-0.896994531154633,-0.380734235048294,1581610878,0,,3443181,37549105,1510686496939
13,3443181,3444831,9,1510686796092,14000.9853515625,-103151.9453125,-3533.43432617188,0.657773554325104,0.720587611198425,-0.219288408756256,13784.2392578125,-101497.0703125,-2891.66796875,0.106424607336521,-0.920184671878815,-0.376741200685501,1581610878,0,,3443181,37549105,1510686496939
14,3443181,3444831,9,1510686795868,13953.0654296875,-103219.8828125,-3541.33422851562,0.546118438243866,0.813603818416595,-0.199507936835289,13784.1806640625,-101496.859375,-2891.69848632812,0.0803630203008652,-0.930078268051147,-0.358463495969772,1581610878,0,,3443181,37549105,1510686496939
15,3443199,3443279,9,1510686734582,15077.9208984375,-115742.9375,-4229.13720703125,0.764617621898651,-0.564809739589691,-0.310402691364288,16043.2421875,-116374.3671875,-4563.04443359375,0.157075196504593,0.920964479446411,-0.3565833568573,1473261180,-1,,3443199,37549105,1510686497554
16,3443186,3463042,9,1510689282500,15891.60546875,-130561.53125,-2966.82080078125,0.0261832922697067,0.99286675453186,-0.116318956017494,16199.9326171875,-114188.8671875,-4624.294921875,-0.0275748502463102,-0.994951903820038,0.0964904278516769,25128851,0,,3443186,37549105,1510686496939
17,3443193,3444831,9,1510686819848,11702.0322265625,-104259.9296875,-3671.716796875,0.962590336799622,0.269666194915771,0.0264580808579922,11590.216796875,-102642.09375,-3120.83813476562,0.0470714643597603,-0.937982738018036,-0.343471437692642,1581610878,0,,3443193,37549105,1510686496939
18,3443193,3444831,9,1510686819992,11711.375,-104257.75,-3645.66284179688,0.963655412197113,0.2659832239151,0.0249246060848236,11589.8134765625,-102643.3984375,-3120.99145507812,0.0491111874580383,-0.940778732299805,-0.335445165634155,1581610878,0,,3443193,37549105,1510686496939
19,3443703,3446048,9,1510686909037,35749.171875,-49725.63671875,-5124.142578125,-0.771366357803345,-0.607832372188568,0.18850377202034,28552.630859375,-51353.65234375,-2149.18530273438,0.911871731281281,0.205502450466156,-0.355328977108002,2113594951,0,,3443703,37549105,1510686550692
20,3443703,3446048,9,1510686907793,35812.16015625,-49698.92578125,-5112.8720703125,-0.762569665908813,-0.64364618062973,0.0648609921336174,28552.630859375,-51353.65234375,-2149.18530273438,0.913850665092468,0.205948427319527,-0.349945962429047,2113594951,0,,3443703,37549105,1510686550692
21,3443192,3443180,9,1510686785564,11890.1689453125,-122371.265625,-4610.193359375,0.0600531734526157,0.997802734375,0.0279914923012257,12427.42578125,-113462.90625,-4508.10205078125,-0.0714589059352875,-0.997415482997894,-0.0074781677685678,1103024654,0,,3443192,37549105,1510686496939
22,3443228,3443186,9,1510687050241,11611.2666015625,-102717.65625,-3129.87451171875,0.163933336734772,0.95454740524292,-0.24892783164978,-14922.4638671875,-120287.671875,-1814.04406738281,0.83331823348999,0.551160514354706,-0.0424595922231674,1788056093,0,,3443228,37549105,1510686499383
23,3443228,3443186,9,1510686619342,14122.94921875,-87800.9921875,-4934.361328125,-0.931049644947052,-0.363973408937454,-0.0258831679821014,-10164.875,-98942.6171875,-5192.98779296875,0.908280253410339,0.418342888355255,0.00402668863534927,1788056093,0,,3443228,37549105,1510686499383
24,3443198,3443192,9,1510686783523,12907.6103515625,-104216.4609375,-3700.35815429688,0.169280827045441,-0.985119640827179,-0.0297168847173452,11890.1689453125,-122371.265625,-4610.193359375,0.0541237518191338,0.996425330638885,0.0648609921336174,2113594951,0,,3443198,37549105,1510686497180
25,3443198,3443192,9,1510686782319,12985.4248046875,-104129.234375,-3672.68994140625,0.111978426575661,-0.989815473556519,-0.0878986418247223,11890.1689453125,-122371.265625,-4610.193359375,0.0606055296957493,0.995835065841675,0.0681134909391403,2113594951,0,,3443198,37549105,1510686497180
26,3443473,3450203,9,1510687523309,-20553.169921875,-64792.640625,-3242.87133789062,0.978151261806488,0.20766419172287,-0.00977929774671793,-15444.6943359375,-63604.55078125,-1976.11889648438,-0.954408824443817,-0.217108577489853,-0.204860091209412,2113594951,0,,3443473,37549105,1510686524614
27,3443473,3450203,9,1510687525081,-20507.484375,-64889.1953125,-3288.82763671875,0.974809110164642,0.015982860699296,0.222467511892319,-15444.6943359375,-63604.55078125,-1976.11889648438,-0.943238377571106,-0.247352063655853,-0.221626490354538,2113594951,0,,3443473,37549105,1510686524614
28,3443473,3450203,9,1510687523988,-20511.451171875,-64835.0703125,-3262.03735351562,0.969662427902222,-0.0131090190261602,0.244096025824547,-15444.6943359375,-63604.55078125,-1976.11889648438,-0.952196419239044,-0.222373932600021,-0.209455966949463,2113594951,0,,3443473,37549105,1510686524614
29,3443195,3443200,9,1510687026336,9977.921875,-116865.7734375,-4574.86376953125,-0.990887224674225,-0.112580806016922,-0.0739471018314362,7654.541015625,-117112.9765625,-4631.37939453125,0.224953010678291,0.9708012342453,0.0833135172724724,1816998062,0,,3443195,37549105,1510686496939
